NET_neuronI_neuronJ,Strength
mocktest_small_1_1,0.000000
mocktest_small_1_2,0.369576
mocktest_small_1_3,0.325406
mocktest_small_1_4,0.291271
mocktest_small_1_5,0.292952
mocktest_small_1_6,0.355691
mocktest_small_1_7,0.356322
mocktest_small_1_8,0.321983
mocktest_small_1_9,0.293190
mocktest_small_1_10,0.320982
mocktest_small_1_11,0.337811
mocktest_small_1_12,0.350058
mocktest_small_1_13,0.309893
mocktest_small_1_14,0.353982
mocktest_small_1_15,0.322835
mocktest_small_1_16,0.329263
mocktest_small_1_17,0.327553
mocktest_small_1_18,0.344488
mocktest_small_1_19,0.308079
mocktest_small_1_20,0.374662
mocktest_small_1_21,0.353482
mocktest_small_1_22,0.285206
mocktest_small_1_23,0.347661
mocktest_small_1_24,0.338649
mocktest_small_1_25,0.295056
mocktest_small_1_26,0.310998
mocktest_small_1_27,0.327439
mocktest_small_1_28,0.310219
mocktest_small_1_29,0.338044
mocktest_small_1_30,0.305589
mocktest_small_1_31,0.306262
mocktest_small_1_32,0.323744
mocktest_small_1_33,0.323065
mocktest_small_1_34,0.336845
mocktest_small_1_35,0.360970
mocktest_small_1_36,0.327619
mocktest_small_1_37,0.325422
mocktest_small_1_38,0.357328
mocktest_small_1_39,0.295288
mocktest_small_1_40,0.363638
mocktest_small_1_41,0.286279
mocktest_small_1_42,0.304607
mocktest_small_1_43,0.238469
mocktest_small_1_44,0.346114
mocktest_small_1_45,0.296425
mocktest_small_1_46,0.389486
mocktest_small_1_47,0.357523
mocktest_small_1_48,0.296574
mocktest_small_1_49,0.346929
mocktest_small_1_50,0.322326
mocktest_small_1_51,0.262941
mocktest_small_1_52,0.345892
mocktest_small_1_53,0.348621
mocktest_small_1_54,0.340312
mocktest_small_1_55,0.312430
mocktest_small_1_56,0.331643
mocktest_small_1_57,0.326098
mocktest_small_1_58,0.298931
mocktest_small_1_59,0.317468
mocktest_small_1_60,0.367223
mocktest_small_1_61,0.323089
mocktest_small_1_62,0.299004
mocktest_small_1_63,0.299474
mocktest_small_1_64,0.291789
mocktest_small_1_65,0.334291
mocktest_small_1_66,0.305298
mocktest_small_1_67,0.358152
mocktest_small_1_68,0.311635
mocktest_small_1_69,0.327319
mocktest_small_1_70,0.300760
mocktest_small_1_71,0.370782
mocktest_small_1_72,0.323310
mocktest_small_1_73,0.334208
mocktest_small_1_74,0.297943
mocktest_small_1_75,0.338911
mocktest_small_1_76,0.307127
mocktest_small_1_77,0.166546
mocktest_small_1_78,0.288083
mocktest_small_1_79,0.372060
mocktest_small_1_80,0.308423
mocktest_small_1_81,0.310340
mocktest_small_1_82,0.315810
mocktest_small_1_83,0.342948
mocktest_small_1_84,0.328199
mocktest_small_1_85,0.312054
mocktest_small_1_86,0.317656
mocktest_small_1_87,0.304401
mocktest_small_1_88,0.337130
mocktest_small_1_89,0.273689
mocktest_small_1_90,0.355766
mocktest_small_1_91,0.349788
mocktest_small_1_92,0.283381
mocktest_small_1_93,0.301801
mocktest_small_1_94,0.277574
mocktest_small_1_95,0.275747
mocktest_small_1_96,0.286620
mocktest_small_1_97,0.338789
mocktest_small_1_98,0.301855
mocktest_small_1_99,0.327342
mocktest_small_1_100,0.317963
mocktest_small_2_1,0.338088
mocktest_small_2_2,0.000000
mocktest_small_2_3,0.348298
mocktest_small_2_4,0.312184
mocktest_small_2_5,0.285651
mocktest_small_2_6,0.351502
mocktest_small_2_7,0.381970
mocktest_small_2_8,0.355517
mocktest_small_2_9,0.304510
mocktest_small_2_10,0.347201
mocktest_small_2_11,0.359025
mocktest_small_2_12,0.379974
mocktest_small_2_13,0.303802
mocktest_small_2_14,0.362467
mocktest_small_2_15,0.360443
mocktest_small_2_16,0.344220
mocktest_small_2_17,0.320674
mocktest_small_2_18,0.357386
mocktest_small_2_19,0.310331
mocktest_small_2_20,0.400264
mocktest_small_2_21,0.390525
mocktest_small_2_22,0.297379
mocktest_small_2_23,0.370485
mocktest_small_2_24,0.340809
mocktest_small_2_25,0.297794
mocktest_small_2_26,0.333370
mocktest_small_2_27,0.325760
mocktest_small_2_28,0.341567
mocktest_small_2_29,0.354600
mocktest_small_2_30,0.311137
mocktest_small_2_31,0.307394
mocktest_small_2_32,0.336643
mocktest_small_2_33,0.324370
mocktest_small_2_34,0.358449
mocktest_small_2_35,0.405033
mocktest_small_2_36,0.321217
mocktest_small_2_37,0.329462
mocktest_small_2_38,0.380274
mocktest_small_2_39,0.293554
mocktest_small_2_40,0.372431
mocktest_small_2_41,0.275082
mocktest_small_2_42,0.319294
mocktest_small_2_43,0.242172
mocktest_small_2_44,0.376829
mocktest_small_2_45,0.290711
mocktest_small_2_46,0.409479
mocktest_small_2_47,0.379978
mocktest_small_2_48,0.320778
mocktest_small_2_49,0.381883
mocktest_small_2_50,0.338247
mocktest_small_2_51,0.268963
mocktest_small_2_52,0.355094
mocktest_small_2_53,0.373970
mocktest_small_2_54,0.365759
mocktest_small_2_55,0.320783
mocktest_small_2_56,0.340593
mocktest_small_2_57,0.349266
mocktest_small_2_58,0.317150
mocktest_small_2_59,0.321875
mocktest_small_2_60,0.384525
mocktest_small_2_61,0.330117
mocktest_small_2_62,0.310886
mocktest_small_2_63,0.309955
mocktest_small_2_64,0.306186
mocktest_small_2_65,0.347540
mocktest_small_2_66,0.314290
mocktest_small_2_67,0.386223
mocktest_small_2_68,0.334439
mocktest_small_2_69,0.335333
mocktest_small_2_70,0.300804
mocktest_small_2_71,0.403118
mocktest_small_2_72,0.350515
mocktest_small_2_73,0.333284
mocktest_small_2_74,0.306407
mocktest_small_2_75,0.363825
mocktest_small_2_76,0.325397
mocktest_small_2_77,0.164149
mocktest_small_2_78,0.300802
mocktest_small_2_79,0.411178
mocktest_small_2_80,0.326288
mocktest_small_2_81,0.327238
mocktest_small_2_82,0.329848
mocktest_small_2_83,0.364841
mocktest_small_2_84,0.338973
mocktest_small_2_85,0.319842
mocktest_small_2_86,0.332045
mocktest_small_2_87,0.294395
mocktest_small_2_88,0.362864
mocktest_small_2_89,0.264072
mocktest_small_2_90,0.378867
mocktest_small_2_91,0.381847
mocktest_small_2_92,0.290884
mocktest_small_2_93,0.313486
mocktest_small_2_94,0.290871
mocktest_small_2_95,0.273417
mocktest_small_2_96,0.299191
mocktest_small_2_97,0.357177
mocktest_small_2_98,0.314716
mocktest_small_2_99,0.340038
mocktest_small_2_100,0.335059
mocktest_small_3_1,0.268313
mocktest_small_3_2,0.314724
mocktest_small_3_3,0.000000
mocktest_small_3_4,0.310291
mocktest_small_3_5,0.263159
mocktest_small_3_6,0.317093
mocktest_small_3_7,0.324267
mocktest_small_3_8,0.305088
mocktest_small_3_9,0.269136
mocktest_small_3_10,0.286657
mocktest_small_3_11,0.373203
mocktest_small_3_12,0.326710
mocktest_small_3_13,0.273505
mocktest_small_3_14,0.336472
mocktest_small_3_15,0.307244
mocktest_small_3_16,0.360496
mocktest_small_3_17,0.261066
mocktest_small_3_18,0.359699
mocktest_small_3_19,0.299500
mocktest_small_3_20,0.362821
mocktest_small_3_21,0.346680
mocktest_small_3_22,0.261442
mocktest_small_3_23,0.306106
mocktest_small_3_24,0.328370
mocktest_small_3_25,0.244942
mocktest_small_3_26,0.362949
mocktest_small_3_27,0.351754
mocktest_small_3_28,0.280886
mocktest_small_3_29,0.305599
mocktest_small_3_30,0.259612
mocktest_small_3_31,0.274538
mocktest_small_3_32,0.331181
mocktest_small_3_33,0.331047
mocktest_small_3_34,0.307332
mocktest_small_3_35,0.360202
mocktest_small_3_36,0.300066
mocktest_small_3_37,0.309149
mocktest_small_3_38,0.330771
mocktest_small_3_39,0.245951
mocktest_small_3_40,0.331919
mocktest_small_3_41,0.262075
mocktest_small_3_42,0.335734
mocktest_small_3_43,0.241638
mocktest_small_3_44,0.318717
mocktest_small_3_45,0.280355
mocktest_small_3_46,0.379676
mocktest_small_3_47,0.307723
mocktest_small_3_48,0.284011
mocktest_small_3_49,0.322999
mocktest_small_3_50,0.327954
mocktest_small_3_51,0.227402
mocktest_small_3_52,0.333061
mocktest_small_3_53,0.333096
mocktest_small_3_54,0.350657
mocktest_small_3_55,0.273848
mocktest_small_3_56,0.362777
mocktest_small_3_57,0.325943
mocktest_small_3_58,0.340793
mocktest_small_3_59,0.306567
mocktest_small_3_60,0.347695
mocktest_small_3_61,0.277516
mocktest_small_3_62,0.280126
mocktest_small_3_63,0.302408
mocktest_small_3_64,0.256607
mocktest_small_3_65,0.354869
mocktest_small_3_66,0.277509
mocktest_small_3_67,0.341687
mocktest_small_3_68,0.289586
mocktest_small_3_69,0.323027
mocktest_small_3_70,0.285063
mocktest_small_3_71,0.369577
mocktest_small_3_72,0.354908
mocktest_small_3_73,0.309953
mocktest_small_3_74,0.293641
mocktest_small_3_75,0.300624
mocktest_small_3_76,0.278255
mocktest_small_3_77,0.147412
mocktest_small_3_78,0.303876
mocktest_small_3_79,0.352962
mocktest_small_3_80,0.306174
mocktest_small_3_81,0.331943
mocktest_small_3_82,0.269389
mocktest_small_3_83,0.313620
mocktest_small_3_84,0.352463
mocktest_small_3_85,0.271233
mocktest_small_3_86,0.362769
mocktest_small_3_87,0.262493
mocktest_small_3_88,0.317040
mocktest_small_3_89,0.233051
mocktest_small_3_90,0.314744
mocktest_small_3_91,0.386963
mocktest_small_3_92,0.242958
mocktest_small_3_93,0.285441
mocktest_small_3_94,0.294208
mocktest_small_3_95,0.248015
mocktest_small_3_96,0.288219
mocktest_small_3_97,0.352254
mocktest_small_3_98,0.253774
mocktest_small_3_99,0.294867
mocktest_small_3_100,0.280778
mocktest_small_4_1,0.221015
mocktest_small_4_2,0.270655
mocktest_small_4_3,0.297616
mocktest_small_4_4,0.000000
mocktest_small_4_5,0.216077
mocktest_small_4_6,0.278760
mocktest_small_4_7,0.296827
mocktest_small_4_8,0.267744
mocktest_small_4_9,0.292383
mocktest_small_4_10,0.275617
mocktest_small_4_11,0.339266
mocktest_small_4_12,0.280300
mocktest_small_4_13,0.233020
mocktest_small_4_14,0.257881
mocktest_small_4_15,0.284421
mocktest_small_4_16,0.310681
mocktest_small_4_17,0.214481
mocktest_small_4_18,0.327332
mocktest_small_4_19,0.277376
mocktest_small_4_20,0.322264
mocktest_small_4_21,0.321265
mocktest_small_4_22,0.208261
mocktest_small_4_23,0.279553
mocktest_small_4_24,0.292101
mocktest_small_4_25,0.210145
mocktest_small_4_26,0.296322
mocktest_small_4_27,0.260093
mocktest_small_4_28,0.233647
mocktest_small_4_29,0.253218
mocktest_small_4_30,0.225447
mocktest_small_4_31,0.291862
mocktest_small_4_32,0.275718
mocktest_small_4_33,0.283939
mocktest_small_4_34,0.272299
mocktest_small_4_35,0.332030
mocktest_small_4_36,0.254059
mocktest_small_4_37,0.242252
mocktest_small_4_38,0.301530
mocktest_small_4_39,0.243350
mocktest_small_4_40,0.279466
mocktest_small_4_41,0.205077
mocktest_small_4_42,0.307608
mocktest_small_4_43,0.184076
mocktest_small_4_44,0.278433
mocktest_small_4_45,0.228690
mocktest_small_4_46,0.313403
mocktest_small_4_47,0.295619
mocktest_small_4_48,0.302150
mocktest_small_4_49,0.278377
mocktest_small_4_50,0.243167
mocktest_small_4_51,0.204752
mocktest_small_4_52,0.270286
mocktest_small_4_53,0.289605
mocktest_small_4_54,0.323584
mocktest_small_4_55,0.238089
mocktest_small_4_56,0.278061
mocktest_small_4_57,0.264617
mocktest_small_4_58,0.302804
mocktest_small_4_59,0.245345
mocktest_small_4_60,0.290280
mocktest_small_4_61,0.235140
mocktest_small_4_62,0.221094
mocktest_small_4_63,0.219820
mocktest_small_4_64,0.207230
mocktest_small_4_65,0.264741
mocktest_small_4_66,0.213032
mocktest_small_4_67,0.348654
mocktest_small_4_68,0.249535
mocktest_small_4_69,0.271512
mocktest_small_4_70,0.236498
mocktest_small_4_71,0.319160
mocktest_small_4_72,0.302220
mocktest_small_4_73,0.267143
mocktest_small_4_74,0.262087
mocktest_small_4_75,0.244018
mocktest_small_4_76,0.226939
mocktest_small_4_77,0.147349
mocktest_small_4_78,0.245311
mocktest_small_4_79,0.314149
mocktest_small_4_80,0.231139
mocktest_small_4_81,0.368101
mocktest_small_4_82,0.242619
mocktest_small_4_83,0.249434
mocktest_small_4_84,0.295140
mocktest_small_4_85,0.286453
mocktest_small_4_86,0.284609
mocktest_small_4_87,0.266825
mocktest_small_4_88,0.265560
mocktest_small_4_89,0.213013
mocktest_small_4_90,0.285936
mocktest_small_4_91,0.304324
mocktest_small_4_92,0.191491
mocktest_small_4_93,0.221563
mocktest_small_4_94,0.271309
mocktest_small_4_95,0.261301
mocktest_small_4_96,0.207846
mocktest_small_4_97,0.291541
mocktest_small_4_98,0.210869
mocktest_small_4_99,0.241903
mocktest_small_4_100,0.239055
mocktest_small_5_1,0.289887
mocktest_small_5_2,0.308006
mocktest_small_5_3,0.302422
mocktest_small_5_4,0.267415
mocktest_small_5_5,0.000000
mocktest_small_5_6,0.325187
mocktest_small_5_7,0.309863
mocktest_small_5_8,0.271694
mocktest_small_5_9,0.279448
mocktest_small_5_10,0.294868
mocktest_small_5_11,0.324412
mocktest_small_5_12,0.312841
mocktest_small_5_13,0.297487
mocktest_small_5_14,0.354494
mocktest_small_5_15,0.285784
mocktest_small_5_16,0.298901
mocktest_small_5_17,0.332398
mocktest_small_5_18,0.314480
mocktest_small_5_19,0.306759
mocktest_small_5_20,0.352161
mocktest_small_5_21,0.316822
mocktest_small_5_22,0.312193
mocktest_small_5_23,0.314097
mocktest_small_5_24,0.300394
mocktest_small_5_25,0.282537
mocktest_small_5_26,0.288783
mocktest_small_5_27,0.297137
mocktest_small_5_28,0.339631
mocktest_small_5_29,0.313011
mocktest_small_5_30,0.346691
mocktest_small_5_31,0.283465
mocktest_small_5_32,0.295939
mocktest_small_5_33,0.333171
mocktest_small_5_34,0.311537
mocktest_small_5_35,0.313653
mocktest_small_5_36,0.297513
mocktest_small_5_37,0.350518
mocktest_small_5_38,0.330560
mocktest_small_5_39,0.267021
mocktest_small_5_40,0.310100
mocktest_small_5_41,0.266955
mocktest_small_5_42,0.294025
mocktest_small_5_43,0.253591
mocktest_small_5_44,0.306715
mocktest_small_5_45,0.276879
mocktest_small_5_46,0.363782
mocktest_small_5_47,0.318544
mocktest_small_5_48,0.257406
mocktest_small_5_49,0.322610
mocktest_small_5_50,0.333178
mocktest_small_5_51,0.296132
mocktest_small_5_52,0.296451
mocktest_small_5_53,0.304287
mocktest_small_5_54,0.300494
mocktest_small_5_55,0.275002
mocktest_small_5_56,0.320610
mocktest_small_5_57,0.299163
mocktest_small_5_58,0.266777
mocktest_small_5_59,0.289727
mocktest_small_5_60,0.324676
mocktest_small_5_61,0.281687
mocktest_small_5_62,0.266780
mocktest_small_5_63,0.311333
mocktest_small_5_64,0.295494
mocktest_small_5_65,0.337205
mocktest_small_5_66,0.319793
mocktest_small_5_67,0.305274
mocktest_small_5_68,0.277616
mocktest_small_5_69,0.296507
mocktest_small_5_70,0.349394
mocktest_small_5_71,0.334983
mocktest_small_5_72,0.299084
mocktest_small_5_73,0.385958
mocktest_small_5_74,0.259157
mocktest_small_5_75,0.339560
mocktest_small_5_76,0.293165
mocktest_small_5_77,0.173446
mocktest_small_5_78,0.263890
mocktest_small_5_79,0.338171
mocktest_small_5_80,0.326617
mocktest_small_5_81,0.289314
mocktest_small_5_82,0.286330
mocktest_small_5_83,0.349523
mocktest_small_5_84,0.304178
mocktest_small_5_85,0.267560
mocktest_small_5_86,0.296976
mocktest_small_5_87,0.296352
mocktest_small_5_88,0.312720
mocktest_small_5_89,0.281986
mocktest_small_5_90,0.305590
mocktest_small_5_91,0.336898
mocktest_small_5_92,0.306225
mocktest_small_5_93,0.280638
mocktest_small_5_94,0.274253
mocktest_small_5_95,0.263321
mocktest_small_5_96,0.312465
mocktest_small_5_97,0.317772
mocktest_small_5_98,0.326370
mocktest_small_5_99,0.319384
mocktest_small_5_100,0.339522
mocktest_small_6_1,0.328752
mocktest_small_6_2,0.355646
mocktest_small_6_3,0.361049
mocktest_small_6_4,0.332844
mocktest_small_6_5,0.307514
mocktest_small_6_6,0.000000
mocktest_small_6_7,0.400181
mocktest_small_6_8,0.336260
mocktest_small_6_9,0.306650
mocktest_small_6_10,0.353834
mocktest_small_6_11,0.402934
mocktest_small_6_12,0.377869
mocktest_small_6_13,0.310495
mocktest_small_6_14,0.416958
mocktest_small_6_15,0.367868
mocktest_small_6_16,0.395913
mocktest_small_6_17,0.322622
mocktest_small_6_18,0.421785
mocktest_small_6_19,0.331563
mocktest_small_6_20,0.399669
mocktest_small_6_21,0.415684
mocktest_small_6_22,0.315422
mocktest_small_6_23,0.360735
mocktest_small_6_24,0.391050
mocktest_small_6_25,0.309483
mocktest_small_6_26,0.364572
mocktest_small_6_27,0.342376
mocktest_small_6_28,0.333801
mocktest_small_6_29,0.378817
mocktest_small_6_30,0.312535
mocktest_small_6_31,0.321945
mocktest_small_6_32,0.374838
mocktest_small_6_33,0.358597
mocktest_small_6_34,0.347840
mocktest_small_6_35,0.391955
mocktest_small_6_36,0.347246
mocktest_small_6_37,0.338845
mocktest_small_6_38,0.358965
mocktest_small_6_39,0.296368
mocktest_small_6_40,0.355945
mocktest_small_6_41,0.295249
mocktest_small_6_42,0.355009
mocktest_small_6_43,0.255521
mocktest_small_6_44,0.387654
mocktest_small_6_45,0.321532
mocktest_small_6_46,0.439931
mocktest_small_6_47,0.386857
mocktest_small_6_48,0.323353
mocktest_small_6_49,0.365458
mocktest_small_6_50,0.361943
mocktest_small_6_51,0.261953
mocktest_small_6_52,0.377265
mocktest_small_6_53,0.371548
mocktest_small_6_54,0.402539
mocktest_small_6_55,0.323692
mocktest_small_6_56,0.387396
mocktest_small_6_57,0.376505
mocktest_small_6_58,0.343733
mocktest_small_6_59,0.357242
mocktest_small_6_60,0.424643
mocktest_small_6_61,0.330006
mocktest_small_6_62,0.329913
mocktest_small_6_63,0.339752
mocktest_small_6_64,0.306340
mocktest_small_6_65,0.389470
mocktest_small_6_66,0.326255
mocktest_small_6_67,0.375451
mocktest_small_6_68,0.342875
mocktest_small_6_69,0.372557
mocktest_small_6_70,0.320559
mocktest_small_6_71,0.416054
mocktest_small_6_72,0.385719
mocktest_small_6_73,0.358976
mocktest_small_6_74,0.345098
mocktest_small_6_75,0.358838
mocktest_small_6_76,0.335886
mocktest_small_6_77,0.170986
mocktest_small_6_78,0.339384
mocktest_small_6_79,0.394780
mocktest_small_6_80,0.355399
mocktest_small_6_81,0.342904
mocktest_small_6_82,0.313522
mocktest_small_6_83,0.381962
mocktest_small_6_84,0.383927
mocktest_small_6_85,0.326796
mocktest_small_6_86,0.362343
mocktest_small_6_87,0.311035
mocktest_small_6_88,0.385135
mocktest_small_6_89,0.275185
mocktest_small_6_90,0.395095
mocktest_small_6_91,0.403731
mocktest_small_6_92,0.297394
mocktest_small_6_93,0.320553
mocktest_small_6_94,0.325782
mocktest_small_6_95,0.282008
mocktest_small_6_96,0.322757
mocktest_small_6_97,0.394045
mocktest_small_6_98,0.313162
mocktest_small_6_99,0.354192
mocktest_small_6_100,0.341183
mocktest_small_7_1,0.315303
mocktest_small_7_2,0.373589
mocktest_small_7_3,0.353096
mocktest_small_7_4,0.335287
mocktest_small_7_5,0.284449
mocktest_small_7_6,0.389180
mocktest_small_7_7,0.000000
mocktest_small_7_8,0.378402
mocktest_small_7_9,0.326517
mocktest_small_7_10,0.378357
mocktest_small_7_11,0.396629
mocktest_small_7_12,0.467115
mocktest_small_7_13,0.291181
mocktest_small_7_14,0.369521
mocktest_small_7_15,0.451456
mocktest_small_7_16,0.394915
mocktest_small_7_17,0.307906
mocktest_small_7_18,0.396540
mocktest_small_7_19,0.318997
mocktest_small_7_20,0.432052
mocktest_small_7_21,0.438989
mocktest_small_7_22,0.314094
mocktest_small_7_23,0.394743
mocktest_small_7_24,0.379267
mocktest_small_7_25,0.339304
mocktest_small_7_26,0.368590
mocktest_small_7_27,0.330462
mocktest_small_7_28,0.363631
