NET_neuronI_neuronJ,Strength
mocktest_small_1_1,0.000000
mocktest_small_1_2,0.000000
mocktest_small_1_3,0.000000
mocktest_small_1_4,0.000000
mocktest_small_1_5,0.000000
mocktest_small_1_6,0.000000
mocktest_small_1_7,0.000000
mocktest_small_1_8,0.000000
mocktest_small_1_9,0.000000
mocktest_small_1_10,0.000000
mocktest_small_1_11,0.000000
mocktest_small_1_12,0.000000
mocktest_small_1_13,0.000000
mocktest_small_1_14,0.000000
mocktest_small_1_15,0.000000
mocktest_small_1_16,0.000000
mocktest_small_1_17,0.040000
mocktest_small_1_18,0.000000
mocktest_small_1_19,0.000000
mocktest_small_1_20,0.000000
mocktest_small_1_21,0.020000
mocktest_small_1_22,0.040000
mocktest_small_1_23,0.000000
mocktest_small_1_24,0.000000
mocktest_small_1_25,0.000000
mocktest_small_1_26,0.060000
mocktest_small_1_27,0.000000
mocktest_small_1_28,0.000000
mocktest_small_1_29,0.000000
mocktest_small_1_30,0.000000
mocktest_small_1_31,0.000000
mocktest_small_1_32,0.000000
mocktest_small_1_33,0.020000
mocktest_small_1_34,0.000000
mocktest_small_1_35,0.020000
mocktest_small_1_36,0.020000
mocktest_small_1_37,0.000000
mocktest_small_1_38,0.000000
mocktest_small_1_39,0.000000
mocktest_small_1_40,0.000000
mocktest_small_1_41,0.020000
mocktest_small_1_42,0.020000
mocktest_small_1_43,0.000000
mocktest_small_1_44,0.000000
mocktest_small_1_45,0.000000
mocktest_small_1_46,0.000000
mocktest_small_1_47,0.000000
mocktest_small_1_48,0.000000
mocktest_small_1_49,0.000000
mocktest_small_1_50,0.020000
mocktest_small_1_51,0.000000
mocktest_small_1_52,0.000000
mocktest_small_1_53,0.000000
mocktest_small_1_54,0.020000
mocktest_small_1_55,0.000000
mocktest_small_1_56,0.000000
mocktest_small_1_57,0.020000
mocktest_small_1_58,0.000000
mocktest_small_1_59,0.000000
mocktest_small_1_60,0.000000
mocktest_small_1_61,0.020000
mocktest_small_1_62,0.000000
mocktest_small_1_63,0.000000
mocktest_small_1_64,0.000000
mocktest_small_1_65,0.000000
mocktest_small_1_66,0.000000
mocktest_small_1_67,0.000000
mocktest_small_1_68,0.000000
mocktest_small_1_69,0.000000
mocktest_small_1_70,0.000000
mocktest_small_1_71,0.000000
mocktest_small_1_72,0.000000
mocktest_small_1_73,0.020000
mocktest_small_1_74,0.000000
mocktest_small_1_75,0.000000
mocktest_small_1_76,0.000000
mocktest_small_1_77,0.000000
mocktest_small_1_78,0.000000
mocktest_small_1_79,0.020000
mocktest_small_1_80,0.000000
mocktest_small_1_81,0.000000
mocktest_small_1_82,0.000000
mocktest_small_1_83,0.000000
mocktest_small_1_84,0.020000
mocktest_small_1_85,0.000000
mocktest_small_1_86,0.000000
mocktest_small_1_87,0.020000
mocktest_small_1_88,0.000000
mocktest_small_1_89,0.020000
mocktest_small_1_90,0.000000
mocktest_small_1_91,0.000000
mocktest_small_1_92,0.000000
mocktest_small_1_93,0.000000
mocktest_small_1_94,0.000000
mocktest_small_1_95,0.060000
mocktest_small_1_96,0.000000
mocktest_small_1_97,0.020000
mocktest_small_1_98,0.000000
mocktest_small_1_99,0.020000
mocktest_small_1_100,0.000000
mocktest_small_2_1,0.000000
mocktest_small_2_2,0.000000
mocktest_small_2_3,0.020000
mocktest_small_2_4,0.000000
mocktest_small_2_5,0.000000
mocktest_small_2_6,0.000000
mocktest_small_2_7,0.000000
mocktest_small_2_8,0.000000
mocktest_small_2_9,0.000000
mocktest_small_2_10,0.000000
mocktest_small_2_11,0.040000
mocktest_small_2_12,0.020000
mocktest_small_2_13,0.000000
mocktest_small_2_14,0.020000
mocktest_small_2_15,0.000000
mocktest_small_2_16,0.020000
mocktest_small_2_17,0.000000
mocktest_small_2_18,0.000000
mocktest_small_2_19,0.000000
mocktest_small_2_20,0.000000
mocktest_small_2_21,0.020000
mocktest_small_2_22,0.000000
mocktest_small_2_23,0.000000
mocktest_small_2_24,0.000000
mocktest_small_2_25,0.000000
mocktest_small_2_26,0.000000
mocktest_small_2_27,0.000000
mocktest_small_2_28,0.000000
mocktest_small_2_29,0.000000
mocktest_small_2_30,0.000000
mocktest_small_2_31,0.000000
mocktest_small_2_32,0.000000
mocktest_small_2_33,0.000000
mocktest_small_2_34,0.000000
mocktest_small_2_35,0.000000
mocktest_small_2_36,0.000000
mocktest_small_2_37,0.020000
mocktest_small_2_38,0.000000
mocktest_small_2_39,0.000000
mocktest_small_2_40,0.000000
mocktest_small_2_41,0.000000
mocktest_small_2_42,0.000000
mocktest_small_2_43,0.020000
mocktest_small_2_44,0.020000
mocktest_small_2_45,0.000000
mocktest_small_2_46,0.000000
mocktest_small_2_47,0.000000
mocktest_small_2_48,0.000000
mocktest_small_2_49,0.000000
mocktest_small_2_50,0.020000
mocktest_small_2_51,0.000000
mocktest_small_2_52,0.000000
mocktest_small_2_53,0.000000
mocktest_small_2_54,0.000000
mocktest_small_2_55,0.000000
mocktest_small_2_56,0.000000
mocktest_small_2_57,0.000000
mocktest_small_2_58,0.000000
mocktest_small_2_59,0.000000
mocktest_small_2_60,0.040000
mocktest_small_2_61,0.000000
mocktest_small_2_62,0.020000
mocktest_small_2_63,0.000000
mocktest_small_2_64,0.000000
mocktest_small_2_65,0.000000
mocktest_small_2_66,0.000000
mocktest_small_2_67,0.040000
mocktest_small_2_68,0.000000
mocktest_small_2_69,0.000000
mocktest_small_2_70,0.000000
mocktest_small_2_71,0.020000
mocktest_small_2_72,0.020000
mocktest_small_2_73,0.020000
mocktest_small_2_74,0.040000
mocktest_small_2_75,0.000000
mocktest_small_2_76,0.020000
mocktest_small_2_77,0.000000
mocktest_small_2_78,0.000000
mocktest_small_2_79,0.000000
mocktest_small_2_80,0.000000
mocktest_small_2_81,0.000000
mocktest_small_2_82,0.020000
mocktest_small_2_83,0.020000
mocktest_small_2_84,0.000000
mocktest_small_2_85,0.000000
mocktest_small_2_86,0.000000
mocktest_small_2_87,0.020000
mocktest_small_2_88,0.000000
mocktest_small_2_89,0.000000
mocktest_small_2_90,0.000000
mocktest_small_2_91,0.000000
mocktest_small_2_92,0.000000
mocktest_small_2_93,0.000000
mocktest_small_2_94,0.000000
mocktest_small_2_95,0.000000
mocktest_small_2_96,0.000000
mocktest_small_2_97,0.000000
mocktest_small_2_98,0.020000
mocktest_small_2_99,0.000000
mocktest_small_2_100,0.000000
mocktest_small_3_1,0.000000
mocktest_small_3_2,0.000000
mocktest_small_3_3,0.000000
mocktest_small_3_4,0.000000
mocktest_small_3_5,0.000000
mocktest_small_3_6,0.000000
mocktest_small_3_7,0.000000
mocktest_small_3_8,0.000000
mocktest_small_3_9,0.020000
mocktest_small_3_10,0.000000
mocktest_small_3_11,0.020000
mocktest_small_3_12,0.000000
mocktest_small_3_13,0.000000
mocktest_small_3_14,0.000000
mocktest_small_3_15,0.000000
mocktest_small_3_16,0.020000
mocktest_small_3_17,0.000000
mocktest_small_3_18,0.000000
mocktest_small_3_19,0.000000
mocktest_small_3_20,0.000000
mocktest_small_3_21,0.000000
mocktest_small_3_22,0.000000
mocktest_small_3_23,0.000000
mocktest_small_3_24,0.000000
mocktest_small_3_25,0.000000
mocktest_small_3_26,0.000000
mocktest_small_3_27,0.000000
mocktest_small_3_28,0.000000
mocktest_small_3_29,0.020000
mocktest_small_3_30,0.000000
mocktest_small_3_31,0.020000
mocktest_small_3_32,0.000000
mocktest_small_3_33,0.000000
mocktest_small_3_34,0.020000
mocktest_small_3_35,0.020000
mocktest_small_3_36,0.000000
mocktest_small_3_37,0.020000
mocktest_small_3_38,0.040000
mocktest_small_3_39,0.000000
mocktest_small_3_40,0.000000
mocktest_small_3_41,0.000000
mocktest_small_3_42,0.000000
mocktest_small_3_43,0.020000
mocktest_small_3_44,0.020000
mocktest_small_3_45,0.000000
mocktest_small_3_46,0.000000
mocktest_small_3_47,0.000000
mocktest_small_3_48,0.020000
mocktest_small_3_49,0.000000
mocktest_small_3_50,0.040000
mocktest_small_3_51,0.000000
mocktest_small_3_52,0.000000
mocktest_small_3_53,0.060000
mocktest_small_3_54,0.020000
mocktest_small_3_55,0.020000
mocktest_small_3_56,0.000000
mocktest_small_3_57,0.000000
mocktest_small_3_58,0.000000
mocktest_small_3_59,0.000000
mocktest_small_3_60,0.000000
mocktest_small_3_61,0.000000
mocktest_small_3_62,0.000000
mocktest_small_3_63,0.000000
mocktest_small_3_64,0.000000
mocktest_small_3_65,0.000000
mocktest_small_3_66,0.000000
mocktest_small_3_67,0.000000
mocktest_small_3_68,0.000000
mocktest_small_3_69,0.000000
mocktest_small_3_70,0.000000
mocktest_small_3_71,0.020000
mocktest_small_3_72,0.000000
mocktest_small_3_73,0.000000
mocktest_small_3_74,0.020000
mocktest_small_3_75,0.020000
mocktest_small_3_76,0.000000
mocktest_small_3_77,0.000000
mocktest_small_3_78,0.000000
mocktest_small_3_79,0.000000
mocktest_small_3_80,0.000000
mocktest_small_3_81,0.000000
mocktest_small_3_82,0.000000
mocktest_small_3_83,0.000000
mocktest_small_3_84,0.020000
mocktest_small_3_85,0.000000
mocktest_small_3_86,0.000000
mocktest_small_3_87,0.000000
mocktest_small_3_88,0.000000
mocktest_small_3_89,0.000000
mocktest_small_3_90,0.000000
mocktest_small_3_91,0.000000
mocktest_small_3_92,0.000000
mocktest_small_3_93,0.000000
mocktest_small_3_94,0.000000
mocktest_small_3_95,0.000000
mocktest_small_3_96,0.000000
mocktest_small_3_97,0.000000
mocktest_small_3_98,0.000000
mocktest_small_3_99,0.020000
mocktest_small_3_100,0.020000
mocktest_small_4_1,0.020000
mocktest_small_4_2,0.000000
mocktest_small_4_3,0.000000
mocktest_small_4_4,0.000000
mocktest_small_4_5,0.020000
mocktest_small_4_6,0.000000
mocktest_small_4_7,0.000000
mocktest_small_4_8,0.000000
mocktest_small_4_9,0.000000
mocktest_small_4_10,0.020000
mocktest_small_4_11,0.020000
mocktest_small_4_12,0.020000
mocktest_small_4_13,0.000000
mocktest_small_4_14,0.000000
mocktest_small_4_15,0.000000
mocktest_small_4_16,0.000000
mocktest_small_4_17,0.000000
mocktest_small_4_18,0.020000
mocktest_small_4_19,0.000000
mocktest_small_4_20,0.000000
mocktest_small_4_21,0.000000
mocktest_small_4_22,0.020000
mocktest_small_4_23,0.020000
mocktest_small_4_24,0.000000
mocktest_small_4_25,0.000000
mocktest_small_4_26,0.000000
mocktest_small_4_27,0.000000
mocktest_small_4_28,0.020000
mocktest_small_4_29,0.020000
mocktest_small_4_30,0.000000
mocktest_small_4_31,0.000000
mocktest_small_4_32,0.000000
mocktest_small_4_33,0.000000
mocktest_small_4_34,0.020000
mocktest_small_4_35,0.000000
mocktest_small_4_36,0.020000
mocktest_small_4_37,0.020000
mocktest_small_4_38,0.020000
mocktest_small_4_39,0.020000
mocktest_small_4_40,0.000000
mocktest_small_4_41,0.000000
mocktest_small_4_42,0.000000
mocktest_small_4_43,0.000000
mocktest_small_4_44,0.000000
mocktest_small_4_45,0.020000
mocktest_small_4_46,0.020000
mocktest_small_4_47,0.000000
mocktest_small_4_48,0.020000
mocktest_small_4_49,0.020000
mocktest_small_4_50,0.000000
mocktest_small_4_51,0.000000
mocktest_small_4_52,0.000000
mocktest_small_4_53,0.000000
mocktest_small_4_54,0.040000
mocktest_small_4_55,0.000000
mocktest_small_4_56,0.000000
mocktest_small_4_57,0.000000
mocktest_small_4_58,0.000000
mocktest_small_4_59,0.020000
mocktest_small_4_60,0.000000
mocktest_small_4_61,0.000000
mocktest_small_4_62,0.040000
mocktest_small_4_63,0.000000
mocktest_small_4_64,0.020000
mocktest_small_4_65,0.000000
mocktest_small_4_66,0.040000
mocktest_small_4_67,0.020000
mocktest_small_4_68,0.000000
mocktest_small_4_69,0.000000
mocktest_small_4_70,0.020000
mocktest_small_4_71,0.000000
mocktest_small_4_72,0.020000
mocktest_small_4_73,0.000000
mocktest_small_4_74,0.000000
mocktest_small_4_75,0.000000
mocktest_small_4_76,0.000000
mocktest_small_4_77,0.040000
mocktest_small_4_78,0.000000
mocktest_small_4_79,0.020000
mocktest_small_4_80,0.000000
mocktest_small_4_81,0.000000
mocktest_small_4_82,0.000000
mocktest_small_4_83,0.000000
mocktest_small_4_84,0.000000
mocktest_small_4_85,0.000000
mocktest_small_4_86,0.000000
mocktest_small_4_87,0.000000
mocktest_small_4_88,0.000000
mocktest_small_4_89,0.000000
mocktest_small_4_90,0.000000
mocktest_small_4_91,0.080000
mocktest_small_4_92,0.000000
mocktest_small_4_93,0.000000
mocktest_small_4_94,0.020000
mocktest_small_4_95,0.000000
mocktest_small_4_96,0.000000
mocktest_small_4_97,0.000000
mocktest_small_4_98,0.020000
mocktest_small_4_99,0.020000
mocktest_small_4_100,0.000000
mocktest_small_5_1,0.020000
mocktest_small_5_2,0.000000
mocktest_small_5_3,0.000000
mocktest_small_5_4,0.020000
mocktest_small_5_5,0.000000
mocktest_small_5_6,0.000000
mocktest_small_5_7,0.000000
mocktest_small_5_8,0.000000
mocktest_small_5_9,0.020000
mocktest_small_5_10,0.000000
mocktest_small_5_11,0.000000
mocktest_small_5_12,0.000000
mocktest_small_5_13,0.000000
mocktest_small_5_14,0.000000
mocktest_small_5_15,0.000000
mocktest_small_5_16,0.000000
mocktest_small_5_17,0.000000
mocktest_small_5_18,0.000000
mocktest_small_5_19,0.000000
mocktest_small_5_20,0.000000
mocktest_small_5_21,0.000000
mocktest_small_5_22,0.000000
mocktest_small_5_23,0.020000
mocktest_small_5_24,0.000000
mocktest_small_5_25,0.000000
mocktest_small_5_26,0.020000
mocktest_small_5_27,0.000000
mocktest_small_5_28,0.000000
mocktest_small_5_29,0.020000
mocktest_small_5_30,0.100000
mocktest_small_5_31,0.000000
mocktest_small_5_32,0.000000
mocktest_small_5_33,0.020000
mocktest_small_5_34,0.000000
mocktest_small_5_35,0.000000
mocktest_small_5_36,0.020000
mocktest_small_5_37,0.000000
mocktest_small_5_38,0.000000
mocktest_small_5_39,0.000000
mocktest_small_5_40,0.020000
mocktest_small_5_41,0.020000
mocktest_small_5_42,0.000000
mocktest_small_5_43,0.000000
mocktest_small_5_44,0.020000
mocktest_small_5_45,0.000000
mocktest_small_5_46,0.000000
mocktest_small_5_47,0.000000
mocktest_small_5_48,0.000000
mocktest_small_5_49,0.000000
mocktest_small_5_50,0.020000
mocktest_small_5_51,0.020000
mocktest_small_5_52,0.000000
mocktest_small_5_53,0.000000
mocktest_small_5_54,0.000000
mocktest_small_5_55,0.000000
mocktest_small_5_56,0.020000
mocktest_small_5_57,0.000000
mocktest_small_5_58,0.000000
mocktest_small_5_59,0.000000
mocktest_small_5_60,0.000000
mocktest_small_5_61,0.000000
mocktest_small_5_62,0.000000
mocktest_small_5_63,0.000000
mocktest_small_5_64,0.000000
mocktest_small_5_65,0.000000
mocktest_small_5_66,0.000000
mocktest_small_5_67,0.000000
mocktest_small_5_68,0.000000
mocktest_small_5_69,0.000000
mocktest_small_5_70,0.000000
mocktest_small_5_71,0.000000
mocktest_small_5_72,0.020000
mocktest_small_5_73,0.040000
mocktest_small_5_74,0.000000
mocktest_small_5_75,0.060000
mocktest_small_5_76,0.000000
mocktest_small_5_77,0.000000
mocktest_small_5_78,0.000000
mocktest_small_5_79,0.000000
mocktest_small_5_80,0.020000
mocktest_small_5_81,0.020000
mocktest_small_5_82,0.000000
mocktest_small_5_83,0.020000
mocktest_small_5_84,0.000000
mocktest_small_5_85,0.000000
mocktest_small_5_86,0.000000
mocktest_small_5_87,0.000000
mocktest_small_5_88,0.000000
mocktest_small_5_89,0.000000
mocktest_small_5_90,0.000000
mocktest_small_5_91,0.020000
mocktest_small_5_92,0.000000
mocktest_small_5_93,0.000000
mocktest_small_5_94,0.040000
mocktest_small_5_95,0.000000
mocktest_small_5_96,0.020000
mocktest_small_5_97,0.000000
mocktest_small_5_98,0.020000
mocktest_small_5_99,0.000000
mocktest_small_5_100,0.020000
mocktest_small_6_1,0.000000
mocktest_small_6_2,0.000000
mocktest_small_6_3,0.000000
mocktest_small_6_4,0.000000
mocktest_small_6_5,0.000000
mocktest_small_6_6,0.000000
